roi,cell_id,leiden_cluster,umap_1,umap_2,n_genes,total_counts,cell_type
Sample_007_Region,21534-sample_1_lv_0046706_007,1,8.131429,8.681558,0,262,Undifferentiated_KC
Sample_007_Region,21535-sample_1_lv_0046706_007,7,5.637223,8.619749,0,262,Undifferentiated_KC
Sample_007_Region,21536-sample_1_lv_0046706_007,4,14.466717,9.018217,0,306,Mono_mac
Sample_007_Region,21537-sample_1_lv_0046706_007,31,10.264508,-1.2226545,0,334,Undifferentiated_KC
Sample_007_Region,21538-sample_1_lv_0046706_007,6,13.959199,14.8322525,0,439,Undifferentiated_KC
Sample_007_Region,21539-sample_1_lv_0046706_007,0,-3.862447,7.1445236,0,161,Undifferentiated_KC
Sample_007_Region,21540-sample_1_lv_0046706_007,0,-5.990518,7.285739,0,111,Undifferentiated_KC
Sample_007_Region,21541-sample_1_lv_0046706_007,4,15.407033,9.909341,0,324,VE2
Sample_007_Region,21542-sample_1_lv_0046706_007,0,-5.2885427,7.126042,0,201,Undifferentiated_KC
Sample_007_Region,21543-sample_1_lv_0046706_007,25,9.277403,22.205006,0,337,Undifferentiated_KC
Sample_007_Region,21544-sample_1_lv_0046706_007,29,3.0601652,3.4393086,0,220,VE2
Sample_007_Region,21545-sample_1_lv_0046706_007,11,11.436837,9.727143,0,331,Undifferentiated_KC
Sample_007_Region,21546-sample_1_lv_0046706_007,11,10.946196,9.959031,0,427,Undifferentiated_KC
Sample_007_Region,21547-sample_1_lv_0046706_007,29,3.5527196,3.5197945,0,224,Undifferentiated_KC
Sample_007_Region,21548-sample_1_lv_0046706_007,0,-4.712104,5.671265,0,39,Undifferentiated_KC
Sample_007_Region,21549-sample_1_lv_0046706_007,0,-5.070966,7.6279063,0,40,Undifferentiated_KC
Sample_007_Region,21550-sample_1_lv_0046706_007,7,4.113808,7.2900496,0,107,Undifferentiated_KC
Sample_007_Region,21551-sample_1_lv_0046706_007,0,-4.0550094,5.5560703,0,96,Undifferentiated_KC
Sample_007_Region,21552-sample_1_lv_0046706_007,0,-3.646143,8.0976925,0,146,Undifferentiated_KC
Sample_007_Region,21553-sample_1_lv_0046706_007,7,15.656027,12.897398,0,350,Undifferentiated_KC
Sample_007_Region,21554-sample_1_lv_0046706_007,1,12.368083,10.285056,0,373,Undifferentiated_KC
Sample_007_Region,21555-sample_1_lv_0046706_007,6,12.467845,13.920912,0,721,Undifferentiated_KC
Sample_007_Region,21556-sample_1_lv_0046706_007,0,-4.089644,9.036959,0,0,Differentiated_KC
Sample_007_Region,21557-sample_1_lv_0046706_007,7,14.483341,11.884298,0,267,Undifferentiated_KC
Sample_007_Region,21558-sample_1_lv_0046706_007,6,14.0228815,14.605264,0,331,Undifferentiated_KC
Sample_007_Region,21559-sample_1_lv_0046706_007,1,4.6992135,0.51378536,0,287,Undifferentiated_KC
Sample_007_Region,21560-sample_1_lv_0046706_007,7,4.351881,7.916744,0,64,Differentiated_KC
Sample_007_Region,21561-sample_1_lv_0046706_007,7,4.4194245,8.047325,0,65,Differentiated_KC
Sample_007_Region,21562-sample_1_lv_0046706_007,7,4.331324,7.7461243,0,36,Undifferentiated_KC
Sample_007_Region,21563-sample_1_lv_0046706_007,29,3.4161599,4.53634,0,160,Undifferentiated_KC
Sample_007_Region,21564-sample_1_lv_0046706_007,0,-5.3266454,8.532025,0,109,Undifferentiated_KC
Sample_007_Region,21565-sample_1_lv_0046706_007,0,-3.4760973,6.205016,0,286,Undifferentiated_KC
Sample_007_Region,21566-sample_1_lv_0046706_007,0,-5.9708323,8.047826,0,45,Differentiated_KC
Sample_007_Region,21567-sample_1_lv_0046706_007,7,4.4259596,8.224871,0,19,Differentiated_KC
Sample_007_Region,21568-sample_1_lv_0046706_007,23,6.3531113,18.190746,0,638,Undifferentiated_KC
